ATO_ID,ra,dec
J303.5539+33.5280,303.55398,33.52804
J255.0415-21.0188,255.04156,-21.01884
J255.6496-21.0188,255.64963,-21.01882
J255.0189-21.8350,255.0189,-21.835
J037.8848+39.4474,37.88489,39.44747
J037.4318+39.2131,37.43185,39.21318
J279.3395+31.1431,279.33953,31.14312
J311.8538+42.6443,311.85388,42.64439
J296.7667+36.6200,296.76672,36.62009
J265.5051-16.1970,265.50512,-16.197
J299.0678+09.6851,299.06782,9.68512
J094.6544+05.4051,94.65441,5.40517
J004.6513+29.6177,4.65134,29.61775
J275.3063+11.8911,275.30639,11.89114
J275.1630+11.9234,275.16303,11.92346
J299.4741+10.0275,299.47416,10.02751
J342.2879+51.6642,342.28798,51.66425
J004.6895+40.2707,4.68951,40.27079
J085.1603+26.9488,85.1603,26.94882
J296.1755+36.8698,296.1755,36.86982
J256.3345+14.0471,256.33451,14.04712
J289.9153+42.5813,289.91535,42.58135
J107.6717-15.5277,107.67171,-15.52771
J107.9655-15.4484,107.96551,-15.44841
J303.5700+36.7184,303.57,36.7184
J183.8116-27.8926,183.81161,-27.89269
J275.5734+12.8090,275.57344,12.80902
J275.7328+12.8983,275.73288,12.8983
J270.5070-24.3147,270.50701,-24.31474
J299.9311+11.2527,299.93112,11.25273
J235.8578-21.4670,235.85789,-21.46705
J286.8297-17.1692,286.82977,-17.1692
J286.4502-17.1303,286.4502,-17.13039
J286.8417-17.1100,286.84177,-17.11007
J293.3445+13.8753,293.3445,13.87534
J299.9607+11.9377,299.96073,11.9377
J329.1778+56.6902,329.17788,56.69025
J311.0469+45.2719,311.0469,45.2719
J107.3893-16.3414,107.38938,-16.3414
J107.8460-16.3030,107.84607,-16.30307
J319.2334-01.2420,319.23347,-1.24202
J329.7158+57.3751,329.7158,57.3751
J265.7855-18.6439,265.7855,-18.64391
J293.5841+14.7784,293.5841,14.7784
J342.1886+53.6681,342.18861,53.6681
J342.3735+53.6726,342.3735,53.67261
J113.4451-03.1507,113.44514,-3.1507
J319.1005-02.3278,319.10058,-2.32787
J184.6880+34.5135,184.68803,34.51356
J329.6655+58.7993,329.66559,58.79933
J286.7842-18.8583,286.78425,-18.85831
J303.6952+37.3365,303.6952,37.3365
J293.7153+16.4440,293.71531,16.44401
J038.0668+48.8929,38.06687,48.8929
J281.4072-18.9418,281.4072,-18.94188
J281.6954-18.4075,281.6954,-18.40752
J279.2278-02.3639,279.2278,-2.3639
J101.7598-01.0382,101.75987,-1.03828
J004.4003+59.5306,4.4003,59.5306
J265.5457-19.4690,265.5457,-19.469
J265.6434-19.4604,265.64342,-19.46048
J094.6632+14.3039,94.66326,14.30396
J107.7135-19.6490,107.71357,-19.64901
J076.0849+35.0403,76.08491,35.04036
J235.9999-33.3312,235.9999,-33.33121
J329.9830-02.0313,329.98305,-2.03134
J329.3439-02.8040,329.34397,-2.80405
J281.7060-18.1931,281.70608,-18.19319
J265.9894-20.2816,265.98946,-20.28166
J299.0961+14.7635,299.09611,14.76354
J085.3647+37.6152,85.3647,37.61522
J038.0329+50.4788,38.0329,50.47886
J094.8461+14.5835,94.84615,14.58358
J279.7817-03.8233,279.78173,-3.82333
J107.6660-19.4416,107.66608,-19.44168
J094.4839+15.0377,94.48397,15.03777
J131.4922-21.4575,131.49229,-21.45753
J270.2912-25.0245,270.29129,-25.02458
J281.3994-19.7848,281.3994,-19.7848
J256.1413-07.9520,256.1414,-7.952
J256.4674-07.4021,256.4674,-7.40213
J256.3772-07.3725,256.3772,-7.37259
J320.6482+13.8836,320.64828,13.88362
J271.2756+00.9935,271.27567,0.99359
J271.1066+00.1509,271.1066,0.1509
J113.8460-09.9783,113.84603,-9.97839
J113.9347-09.9729,113.93476,-9.97296
J281.7690-19.5538,281.76901,-19.55381
J286.6792-22.5404,286.67922,-22.54042
J076.7869+37.4727,76.78699,37.47278
J271.7253+01.3264,271.7253,1.32641
J296.9252+39.9507,296.92526,39.95078
J236.3499+31.9894,236.34995,31.98947
J113.6905-10.3221,113.69057,-10.3221
J113.7860-10.2564,113.78603,-10.25648
J038.8879+56.1152,38.88794,56.11523
J293.5226+19.4725,293.5226,19.4725
J330.5861+07.3126,330.58612,7.31261
J118.6085+42.3411,118.6085,42.34119
J113.3032-10.0802,113.3032,-10.08021
J299.8045+15.1091,299.80459,15.1091
J063.5429+36.3060,63.54299,36.30603
J063.3493+36.4134,63.34936,36.41344
J299.5807+16.4251,299.5807,16.42518
J293.6902+20.2493,293.69029,20.24934
J131.7660-27.5974,131.76608,-27.59744
J281.2022-19.1209,281.2022,-19.12097
J286.9622-23.3281,286.96225,-23.32815
J284.1682-02.9861,284.1682,-2.9861
J101.0874-05.7482,101.08749,-5.7482
J094.7905+19.2038,94.79052,19.20389
J094.3113+19.2538,94.31139,19.25389
J094.5920+21.7162,94.59207,21.7162
J281.4752-20.2601,281.47528,-20.2601
J311.3343+49.6287,311.3343,49.6287
J271.2648+03.5931,271.26487,3.59312
J256.7318-18.3597,256.73188,-18.35979
J256.7496-18.2402,256.7496,-18.24028
J303.5501+39.3312,303.55015,39.33127
J303.0784+39.3316,303.07847,39.33161
J303.3386+39.3733,303.33867,39.37332
J113.9747-12.7796,113.97473,-12.77968
J076.3975+41.6852,76.39755,41.68524
J236.3653-01.7200,236.3653,-1.72
J076.6550+41.8158,76.65509,41.81583
J311.1122+49.7447,311.11226,49.74475
J311.2492+49.0085,311.24923,49.00859
J303.9430+39.8316,303.94303,39.83164
J287.4319+00.1966,287.4319,0.1966
J271.8176+04.0448,271.81769,4.04488
J271.3386+04.5278,271.33867,4.52783
J271.5318+04.5289,271.53187,4.52898
J107.0647-26.3521,107.06475,-26.35217
J039.8785+10.4832,39.87851,10.48327
J287.1855+00.2607,287.1855,0.2607
J287.2660+00.2664,287.26604,0.2664
J256.8730-19.3706,256.87301,-19.37062
J281.0549-21.7174,281.05497,-21.71744
J094.6620+22.8093,94.66202,22.8093
J284.8048-03.3583,284.8048,-3.3583
J118.0189-05.4533,118.01899,-5.45336
J281.1459-21.2983,281.14593,-21.29831
J101.7496-08.1241,101.74968,-8.12417
J094.5992+23.0157,94.59921,23.01574
J256.8443-20.5790,256.84434,-20.57901
J256.1907-20.4050,256.1907,-20.40502
J299.7427+17.7388,299.7427,17.73884
J299.5167+17.7647,299.51671,17.7647
J290.3664+02.2997,290.36641,2.29974
